"GWRr2","GWRbx","GWRby","GWR_xSE","GWR_ySE","DMCE","DMCN","Year","Year.1","PlotID","DMCE.1","DMCN.1","long","lat"
0.595652109777094,-5.19177537053467e-05,7.75278945333126e-05,4.20764252940681e-05,8.81613607034962e-06,676498,4343650,2012,2012,87,676498,4343650,-96.9553416755913,39.2242117188274
0.58064697405337,-2.19890802708409e-05,4.31922767338535e-05,8.27117527773525e-06,6.46268615555857e-06,684077,4343344,2012,2012,89,684077,4343344,-96.8676810875185,39.2198824136854
0.394377254611887,8.92051511940546e-06,1.49116367894096e-05,5.40468457220146e-06,2.53827647631113e-06,684252,4343757,2012,2012,91,684252,4343757,-96.8655425545409,39.2235642573241
0.577351068209708,-3.97706439794531e-05,3.78984261898342e-05,6.83953097133601e-06,6.86750881471114e-06,684326,4345173,2012,2012,93,684326,4345173,-96.8642992351763,39.2362992436346
0.136928876824241,-2.14084107101533e-05,4.643808000386e-06,7.38336573219883e-06,6.65208634216559e-06,685915,4346284,2012,2012,95,685915,4346284,-96.8455942045008,39.2459643903708
0.836846010754002,2.71887128403138e-05,4.22661503372732e-05,2.56415435392191e-06,5.67360045709658e-06,683344,4344923,2012,2012,99,683344,4344923,-96.8757378021723,39.2342560746885
0.498248821742571,-1.22895684191733e-05,4.04361962022195e-05,7.03664056705494e-06,6.59455953488743e-06,682635,4344636,2012,2012,100,682635,4344636,-96.8840248340938,39.2318211800532
0.715624000141655,-5.54485033416838e-05,-5.15548227374697e-05,6.62192041111958e-06,5.76523234847382e-06,689197,4345477,2012,2012,109,689197,4345477,-96.807814092561,39.2379883068411
0.428146850863684,-0.000107842214196794,1.62435974026342e-05,2.12953909017391e-05,1.18354947253147e-05,691417,4344297,2012,2012,111,691417,4344297,-96.7824439475294,39.2268764577872
0.28058134672445,9.80074845526281e-05,8.6827855337835e-05,2.54727255890895e-05,2.53128366956667e-05,679786,4350618,2012,2012,117,679786,4350618,-96.9154168017445,39.2862838136502
0.983469524145189,0.000386943336566607,0.00025554335906481,3.6965921942446e-05,3.03573863981059e-05,676932,4350601,2012,2012,121,676932,4350601,-96.9484928314398,39.2867183615234
0.555966034607745,0.000358227508942048,-2.55088613878964e-06,4.39751486142412e-05,2.69301471146985e-05,676480,4349760,2012,2012,123,676480,4349760,-96.9539510313795,39.279237227525
0.756782060077586,-0.000104315436606038,-0.000126312879232826,1.51262368485961e-05,1.41797929389471e-05,690216,4348406,2012,2012,127,690216,4348406,-96.795189156415,39.2641390860909
0.832312612856316,-9.61539843226858e-05,-0.000113638319114143,1.60169424617995e-05,9.54714739075584e-06,690297,4347810,2012,2012,128,690297,4347810,-96.7944191935512,39.2587547717849
0.842281358235311,0.000199855900065858,9.99071302509641e-05,1.25467449264676e-05,2.24997904232705e-05,677693,4351254,2012,2012,132,677693,4351254,-96.9395020517521,39.2924429008501
0.0586149276598229,1.50350388081831e-06,1.53231314402894e-05,6.72630036556934e-06,8.43526678547351e-06,684261,4350282,2012,2012,135,684261,4350282,-96.8636553526012,39.2823179631113
0.278953991335011,-3.00672943872158e-05,-1.07306252258518e-06,7.21144245221658e-06,4.052207260342e-06,685184,4348866,2012,2012,137,685184,4348866,-96.8533503010139,39.2693706732849
0.942572325765413,0.000123350648126054,0.000145353319973707,9.91130761590149e-06,4.94232925499191e-06,676763,4342442,2012,2012,303,676763,4342442,-96.9525897202841,39.2132794604219
0.343709066483228,-3.27023015499436e-05,-5.32584897749009e-05,9.49487854046961e-06,1.10295920720157e-05,676956,4342172,2012,2012,306,676956,4342172,-96.9504262884886,39.2108087405982
0.3539306511889,-2.77181602594084e-05,7.37990312589759e-05,2.58436734845883e-05,1.62888000452309e-05,692663,4323834,2013,2013,1,692663,4323834,-96.7738314729768,39.0423455565356
0.119710573305987,0.000151528700231758,-0.0001057839020124,5.76652215753086e-05,7.01344575315425e-05,696573,4333142,2013,2013,6,696573,4333142,-96.725994726085,39.1252851002369
0.461686200146898,-0.000184966769264133,0.000264032545169451,3.53659158964188e-05,4.68197017805241e-05,694516,4333097,2013,2013,8,694516,4333097,-96.7497862850841,39.125341589609
0.117431850420016,0.000106213825779394,-5.31163355922041e-05,4.3805968776523e-05,6.39465270520685e-05,694210,4330770,2013,2013,11,694210,4330770,-96.7539892314328,39.1044569932858
0.429434910725673,6.08018051330344e-05,1.83389216947732e-05,1.08985032831859e-05,1.12279141268609e-05,694728,4332674,2013,2013,13,694728,4332674,-96.7474569461239,39.1214854619204
0.429629321781609,-9.18774249001227e-05,5.37693458724859e-05,1.62389681312671e-05,1.61480713211469e-05,691530,4331040,2013,2013,15,691530,4331040,-96.7848851434145,39.1074810406372
0.733208453807649,0.0001717690295972,5.90190545656802e-05,1.99613789399055e-05,1.54154997927504e-05,689234,4327077,2013,2013,18,689234,4327077,-96.8125241943314,39.0722970930274
0.737881605876621,9.92538636077251e-05,7.4453561596872e-05,1.39983312607464e-05,9.82951407010969e-06,688083,4323819,2013,2013,19,688083,4323819,-96.826720322908,39.043208334356
0.892124102846912,0.00013505948975772,9.71146981579076e-05,1.68853789831593e-05,8.14784940425895e-06,688193,4324563,2013,2013,20,688193,4324563,-96.8252446189555,39.0498842052576
0.411360103469117,2.6899755776379e-05,5.90024888510098e-05,2.427143983476e-05,1.06719213705864e-05,686450,4328200,2013,2013,24,686450,4328200,-96.8443769887039,39.0830086591276
0.675644892811522,-9.58297800503634e-05,1.11925676137187e-05,1.38960170096698e-05,1.40561190120323e-05,685438,4336502,2013,2013,30,685438,4336502,-96.8538013695076,39.1579825114145
0.154983659686184,3.35706042441647e-05,7.92526189828278e-05,1.3724260518179e-05,2.76305306551654e-05,687025,4334834,2013,2013,31,687025,4334834,-96.835906410605,39.1426230797028
0.668728269255257,9.74616113616566e-05,2.70742958098486e-05,1.04031522359565e-05,1.83575853388712e-05,689516,4336900,2013,2013,32,689516,4336900,-96.8065245565643,39.1606877660181
